query_idx,profile,nav_attr,recall,graph_ms,exact_ms,hops,dist,pruned,result_count,insufficient,span0,span1,span2
0,attr0_narrow,0,0.9,15.692844,1161.7181,1032,4545,13699,10,0,1000000,5000000,5000000
1,attr1_narrow,1,1,20.634279,577.77376,1027,6048,18464,10,0,5000000,1000000,5000000
2,attr2_narrow,2,1,19.201342,458.87781,1028,3993,12227,10,0,5000000,5000000,1000000
3,balanced,0,0,10.208073,181.32238,1085,1293,30402,10,0,2000000,2000000,2000000
4,attr0_narrow,0,1,8.837474,315.58702,1038,3309,9742,10,0,1000000,5000000,5000000
5,attr1_narrow,1,1,6.495019,306.76315,1028,3398,10524,10,0,5000000,1000000,5000000
6,attr2_narrow,2,1,7.005113,329.91092,1028,3593,10794,10,0,5000000,5000000,1000000
7,balanced,0,0.4,14.296887,114.45013,1451,1717,42512,10,0,2000000,2000000,2000000
8,attr0_narrow,0,1,9.186013,231.81762,1091,4805,14377,10,0,1000000,5000000,5000000
9,attr1_narrow,1,1,7.234056,279.63457,1030,3802,11870,10,0,5000000,1000000,5000000
10,attr2_narrow,2,1,9.352898,264.85048,1029,5905,17798,10,0,5000000,5000000,1000000
11,balanced,0,0.1,23.694029,115.6576,1440,1764,43102,10,0,2000000,2000000,2000000
12,attr0_narrow,0,1,10.676498,226.93957,1036,3250,9603,10,0,1000000,5000000,5000000
13,attr1_narrow,1,1,7.35823,256.72246,1032,4132,12328,10,0,5000000,1000000,5000000
14,attr2_narrow,2,0.9,11.871836,250.38034,1031,6023,17904,10,0,5000000,5000000,1000000
15,balanced,0,0,0.853663,133.72032,42,42,1372,10,0,2000000,2000000,2000000
16,attr0_narrow,0,1,9.323112,175.38211,1034,2390,6904,10,0,1000000,5000000,5000000
17,attr1_narrow,1,1,6.595178,222.09726,1029,3165,9506,10,0,5000000,1000000,5000000
18,attr2_narrow,2,1,7.042523,214.75915,1040,3566,10737,10,0,5000000,5000000,1000000
19,balanced,0,0,15.846364,163.97753,1107,1482,34241,10,0,2000000,2000000,2000000
20,attr0_narrow,0,1,7.021383,147.46952,1032,3406,10069,10,0,1000000,5000000,5000000
21,attr1_narrow,1,0.9,15.476566,214.3237,1039,2236,6802,10,0,5000000,1000000,5000000
22,attr2_narrow,2,1,17.117936,232.42397,1030,4654,13954,10,0,5000000,5000000,1000000
23,balanced,0,0,0.114085,111.09956,4,4,252,4,1,2000000,2000000,2000000
24,attr0_narrow,0,1,14.733883,203.1606,1029,4408,13210,10,0,1000000,5000000,5000000
25,attr1_narrow,1,1,6.162871,203.34319,1030,2775,8391,10,0,5000000,1000000,5000000
26,attr2_narrow,2,0.9,12.417537,229.88722,1028,5955,17920,10,0,5000000,5000000,1000000
27,balanced,0,0,0.200368,100.07591,10,10,391,10,0,2000000,2000000,2000000
28,attr0_narrow,0,1,14.308609,152.4696,1027,2946,8764,10,0,1000000,5000000,5000000
29,attr1_narrow,1,1,6.434424,189.98517,1034,3271,10070,10,0,5000000,1000000,5000000
30,attr2_narrow,2,1,13.942367,208.91917,1028,4460,13861,10,0,5000000,5000000,1000000
31,balanced,0,0,0.832222,105.51192,66,66,1866,10,0,2000000,2000000,2000000
32,attr0_narrow,0,1,9.818398,171.07183,1027,4032,12298,10,0,1000000,5000000,5000000
33,attr1_narrow,1,1,8.511328,198.76438,1036,5106,15136,10,0,5000000,1000000,5000000
34,attr2_narrow,2,1,7.614043,216.96202,1028,4464,13047,10,0,5000000,5000000,1000000
35,balanced,0,0,10.881065,104.36937,1083,1297,31761,10,0,2000000,2000000,2000000
36,attr0_narrow,0,0.9,12.354007,177.98808,1039,2953,8800,10,0,1000000,5000000,5000000
37,attr1_narrow,1,1,9.730601,202.80881,1030,5702,17486,10,0,5000000,1000000,5000000
38,attr2_narrow,2,1,12.696453,225.12282,1035,2292,6862,10,0,5000000,5000000,1000000
39,balanced,0,0,0.221248,100.72115,11,11,410,10,0,2000000,2000000,2000000
40,attr0_narrow,0,1,9.363317,150.93711,1033,4363,13065,10,0,1000000,5000000,5000000
41,attr1_narrow,1,1,8.871559,192.68798,1037,5135,15037,10,0,5000000,1000000,5000000
42,attr2_narrow,2,0.9,13.888526,222.72382,1027,4138,12245,10,0,5000000,5000000,1000000
43,balanced,0,0,10.75689,96.771584,1169,1328,32033,10,0,2000000,2000000,2000000
44,attr0_narrow,0,0.9,16.134699,138.85361,1030,5493,16315,10,0,1000000,5000000,5000000
45,attr1_narrow,1,1,8.467626,187.83265,1030,5233,15133,10,0,5000000,1000000,5000000
46,attr2_narrow,2,1,8.647235,209.78445,1031,3051,9314,10,0,5000000,5000000,1000000
47,balanced,0,0,0.118975,124.07962,5,5,197,5,1,2000000,2000000,2000000
48,attr0_narrow,0,1,16.605849,147.15449,1031,4992,14686,10,0,1000000,5000000,5000000
49,attr1_narrow,1,1,8.413413,212.59912,1032,5108,15253,10,0,5000000,1000000,5000000
50,attr2_narrow,2,1,15.638752,202.29509,1031,5577,16629,10,0,5000000,5000000,1000000
51,balanced,0,0.5,16.710156,119.86183,1051,1295,31112,10,0,2000000,2000000,2000000
52,attr0_narrow,0,0.9,12.775283,169.49041,1035,4961,14814,10,0,1000000,5000000,5000000
53,attr1_narrow,1,1,7.679546,191.73628,1048,4094,12255,10,0,5000000,1000000,5000000
54,attr2_narrow,2,1,14.283742,219.27597,1030,4514,13764,10,0,5000000,5000000,1000000
55,balanced,0,0.1,19.139225,151.07703,1449,1901,45034,10,0,2000000,2000000,2000000
56,attr0_narrow,0,1,7.260555,141.61795,1033,3473,10302,10,0,1000000,5000000,5000000
57,attr1_narrow,1,0.5,8.54392,175.52155,1033,5158,15410,10,0,5000000,1000000,5000000
58,attr2_narrow,2,1,12.748081,207.49135,1032,5155,15654,10,0,5000000,5000000,1000000
59,balanced,0,0,12.910177,138.14332,1026,1175,28568,10,0,2000000,2000000,2000000
60,attr0_narrow,0,1,11.354889,174.40019,1031,4228,12841,10,0,1000000,5000000,5000000
61,attr1_narrow,1,1,8.688934,180.21525,1030,5595,16824,10,0,5000000,1000000,5000000
62,attr2_narrow,2,1,9.906533,223.00398,1029,4642,14070,10,0,5000000,5000000,1000000
63,balanced,0,0.2,18.495097,145.59607,1506,1910,45376,10,0,2000000,2000000,2000000
64,attr0_narrow,0,1,9.821123,161.45227,1026,4694,14058,10,0,1000000,5000000,5000000
65,attr1_narrow,1,1,6.436789,200.65783,1030,3096,9157,10,0,5000000,1000000,5000000
66,attr2_narrow,2,1,15.957584,213.16149,1026,4251,12726,10,0,5000000,5000000,1000000
67,balanced,0,0.5,15.960921,134.51276,1053,1395,32907,10,0,2000000,2000000,2000000
68,attr0_narrow,0,1,12.351703,185.12645,1037,5807,17734,10,0,1000000,5000000,5000000
69,attr1_narrow,1,1,7.960027,197.6535,1043,4046,12072,10,0,5000000,1000000,5000000
70,attr2_narrow,2,1,14.736408,225.27025,1029,4316,13196,10,0,5000000,5000000,1000000
71,balanced,0,0,0.959452,89.13607,36,36,1103,10,0,2000000,2000000,2000000
72,attr0_narrow,0,1,15.691561,138.59276,1028,4672,14025,10,0,1000000,5000000,5000000
73,attr1_narrow,1,1,6.161519,198.98819,1031,2751,8150,10,0,5000000,1000000,5000000
74,attr2_narrow,2,1,12.605382,212.95057,1027,3163,9111,10,0,5000000,5000000,1000000
75,balanced,0,0.3,9.222381,92.70407,1071,1216,27704,10,0,2000000,2000000,2000000
76,attr0_narrow,0,1,9.145977,173.44926,1042,3812,11784,10,0,1000000,5000000,5000000
77,attr1_narrow,1,1,6.212997,180.35959,1049,3155,9308,10,0,5000000,1000000,5000000
78,attr2_narrow,2,1,15.372809,214.44982,1034,4186,12519,10,0,5000000,5000000,1000000
79,balanced,0,0,0.711534,111.09667,33,33,1006,10,0,2000000,2000000,2000000
80,attr0_narrow,0,1,15.691051,180.65087,1031,4665,13874,10,0,1000000,5000000,5000000
81,attr1_narrow,1,1,9.059935,202.29674,1028,5491,16243,10,0,5000000,1000000,5000000
82,attr2_narrow,2,1,12.791473,211.58513,1028,5474,16329,10,0,5000000,5000000,1000000
83,balanced,0,0,12.428088,121.49182,1027,1173,27815,10,0,2000000,2000000,2000000
84,attr0_narrow,0,1,15.483629,146.82749,1031,3037,8907,10,0,1000000,5000000,5000000
85,attr1_narrow,1,1,9.55001,197.74654,1032,5966,17715,10,0,5000000,1000000,5000000
86,attr2_narrow,2,1,18.774977,221.34818,1028,3868,11810,10,0,5000000,5000000,1000000
87,balanced,0,0,10.885522,102.48129,1077,1354,31306,10,0,2000000,2000000,2000000
88,attr0_narrow,0,1,8.786408,155.26646,1026,3533,10957,10,0,1000000,5000000,5000000
89,attr1_narrow,1,1,6.674729,202.72097,1028,3027,8700,10,0,5000000,1000000,5000000
90,attr2_narrow,2,1,9.950587,207.10715,1033,2761,8207,10,0,5000000,5000000,1000000
91,balanced,0,0,0.705032,144.23286,42,42,1181,10,0,2000000,2000000,2000000
92,attr0_narrow,0,1,7.63851,151.42976,1031,3680,10855,10,0,1000000,5000000,5000000
93,attr1_narrow,1,1,8.510045,199.64238,1031,4691,14014,10,0,5000000,1000000,5000000
94,attr2_narrow,2,1,20.722896,215.2264,1032,5365,15952,10,0,5000000,5000000,1000000
95,balanced,0,0,9.698972,92.602999,1039,1218,29456,10,0,2000000,2000000,2000000
96,attr0_narrow,0,1,13.088134,180.91404,1049,4492,13547,10,0,1000000,5000000,5000000
97,attr1_narrow,1,1,6.76007,200.1035,1029,3209,9465,10,0,5000000,1000000,5000000
98,attr2_narrow,2,1,17.028267,203.34412,1028,4527,13496,10,0,5000000,5000000,1000000
99,balanced,0,0.5,12.750065,138.56556,1026,1282,30835,10,0,2000000,2000000,2000000
100,attr0_narrow,0,0.9,9.839547,149.06133,1044,5245,15789,10,0,1000000,5000000,5000000
101,attr1_narrow,1,1,7.365394,180.43514,1029,4508,13828,10,0,5000000,1000000,5000000
102,attr2_narrow,2,1,9.968791,218.12278,1025,2845,8714,10,0,5000000,5000000,1000000
103,balanced,0,0,0.3704,125.1036,20,20,596,10,0,2000000,2000000,2000000
104,attr0_narrow,0,1,11.155172,181.28081,1029,4774,13852,10,0,1000000,5000000,5000000
105,attr1_narrow,1,1,5.751905,200.62786,1029,2439,7192,10,0,5000000,1000000,5000000
106,attr2_narrow,2,1,11.779592,207.56743,1029,4596,13623,10,0,5000000,5000000,1000000
107,balanced,0,0,0.208564,110.11344,9,9,362,9,1,2000000,2000000,2000000
108,attr0_narrow,0,1,10.420404,187.74668,1033,3961,12158,10,0,1000000,5000000,5000000
109,attr1_narrow,1,1,5.731476,196.86626,1027,2256,6692,10,0,5000000,1000000,5000000
110,attr2_narrow,2,1,12.952949,226.5081,1028,5912,17566,10,0,5000000,5000000,1000000
111,balanced,0,0.4,12.613247,148.83635,1056,1324,31309,10,0,2000000,2000000,2000000
112,attr0_narrow,0,1,8.751802,147.44591,1033,4162,12612,10,0,1000000,5000000,5000000
113,attr1_narrow,1,1,6.278631,209.12838,1037,2849,8442,10,0,5000000,1000000,5000000
114,attr2_narrow,2,0.8,9.329334,194.0504,1033,2630,7703,10,0,5000000,5000000,1000000
115,balanced,0,0.4,12.676246,106.76406,1155,1523,35899,10,0,2000000,2000000,2000000
116,attr0_narrow,0,0.9,8.338261,156.94472,1033,3836,11592,10,0,1000000,5000000,5000000
117,attr1_narrow,1,1,7.389809,191.39911,1032,3833,11716,10,0,5000000,1000000,5000000
118,attr2_narrow,2,0.9,10.912664,223.49704,1027,3910,11720,10,0,5000000,5000000,1000000
119,balanced,0,0,18.299739,101.40494,1459,1796,44025,10,0,2000000,2000000,2000000
120,attr0_narrow,0,1,8.964183,146.62963,1031,2789,8105,10,0,1000000,5000000,5000000
121,attr1_narrow,1,1,8.655971,180.43759,1031,5093,15025,10,0,5000000,1000000,5000000
122,attr2_narrow,2,1,13.55215,230.25578,1037,6094,18238,10,0,5000000,5000000,1000000
123,balanced,0,0,0.423139,112.70026,26,26,792,10,0,2000000,2000000,2000000
124,attr0_narrow,0,1,8.507431,160.01493,1026,2880,8974,10,0,1000000,5000000,5000000
125,attr1_narrow,1,1,7.486963,204.45119,1029,3815,11407,10,0,5000000,1000000,5000000
126,attr2_narrow,2,0.9,20.636183,214.79363,1028,4537,14123,10,0,5000000,5000000,1000000
127,balanced,0,0,0.480628,136.77552,26,26,979,10,0,2000000,2000000,2000000
128,attr0_narrow,0,1,13.40384,167.17141,1028,5134,15606,10,0,1000000,5000000,5000000
129,attr1_narrow,1,1,8.5177,186.6448,1027,4473,13233,10,0,5000000,1000000,5000000
130,attr2_narrow,2,1,12.646269,226.07699,1029,5653,17059,10,0,5000000,5000000,1000000
131,balanced,0,0,13.171181,104.45551,1259,1583,37749,10,0,2000000,2000000,2000000
132,attr0_narrow,0,1,12.429218,190.18638,1031,5861,17636,10,0,1000000,5000000,5000000
133,attr1_narrow,1,1,9.30671,191.71783,1033,5902,17936,10,0,5000000,1000000,5000000
134,attr2_narrow,2,1,12.779581,219.5633,1092,3720,11845,10,0,5000000,5000000,1000000
135,balanced,0,0.1,12.420833,114.23819,1108,1420,33308,10,0,2000000,2000000,2000000
136,attr0_narrow,0,1,6.271106,141.52093,1032,2511,7587,10,0,1000000,5000000,5000000
137,attr1_narrow,1,1,10.142409,210.46665,1030,5836,17145,10,0,5000000,1000000,5000000
138,attr2_narrow,2,1,11.854654,199.62032,1028,4642,13567,10,0,5000000,5000000,1000000
139,balanced,0,0.2,12.008384,125.38368,1039,1290,32159,10,0,2000000,2000000,2000000
140,attr0_narrow,0,1,10.726142,144.94841,1034,4167,12413,10,0,1000000,5000000,5000000
141,attr1_narrow,1,0.9,7.896266,197.6852,1032,4053,11970,10,0,5000000,1000000,5000000
142,attr2_narrow,2,1,11.991101,226.93074,1028,4912,15326,10,0,5000000,5000000,1000000
143,balanced,0,0,13.837439,107.14136,1073,1317,32104,10,0,2000000,2000000,2000000
144,attr0_narrow,0,1,6.246049,143.04486,1032,2625,7887,10,0,1000000,5000000,5000000
145,attr1_narrow,1,1,5.66936,191.64558,1031,2620,7740,10,0,5000000,1000000,5000000
146,attr2_narrow,2,1,11.771376,199.26563,1025,3501,10336,10,0,5000000,5000000,1000000
147,balanced,0,0.1,11.56678,99.33713,1116,1399,34177,10,0,2000000,2000000,2000000
148,attr0_narrow,0,1,8.137602,190.76488,1046,1869,5575,10,0,1000000,5000000,5000000
149,attr1_narrow,1,1,6.4741,194.65245,1047,2918,8497,10,0,5000000,1000000,5000000
150,attr2_narrow,2,0.9,12.970772,211.05366,1046,4962,15103,10,0,5000000,5000000,1000000
151,balanced,0,0.5,11.870493,106.40432,1132,1433,34187,10,0,2000000,2000000,2000000
152,attr0_narrow,0,1,10.534089,126.91601,1031,4117,12688,10,0,1000000,5000000,5000000
153,attr1_narrow,1,1,8.657113,202.59618,1034,5134,15562,10,0,5000000,1000000,5000000
154,attr2_narrow,2,1,13.397548,208.75159,1031,4332,13039,10,0,5000000,5000000,1000000
155,balanced,0,0.5,12.236204,116.65287,1230,1415,33972,10,0,2000000,2000000,2000000
156,attr0_narrow,0,1,11.072877,153.43809,1027,3664,10677,10,0,1000000,5000000,5000000
157,attr1_narrow,1,1,8.056779,199.96983,1031,4318,13053,10,0,5000000,1000000,5000000
158,attr2_narrow,2,0.9,16.551506,201.34197,1037,4120,12488,10,0,5000000,5000000,1000000
159,balanced,0,0.2,11.557883,134.3527,1043,1343,30871,10,0,2000000,2000000,2000000
160,attr0_narrow,0,1,8.626325,145.08124,1036,4749,14381,10,0,1000000,5000000,5000000
161,attr1_narrow,1,1,7.693954,187.96999,1033,4214,12409,10,0,5000000,1000000,5000000
162,attr2_narrow,2,1,10.778821,217.93593,1032,3211,9598,10,0,5000000,5000000,1000000
163,balanced,0,0,0.340082,88.658198,16,16,526,10,0,2000000,2000000,2000000
164,attr0_narrow,0,1,10.674344,165.21911,1031,5524,16496,10,0,1000000,5000000,5000000
165,attr1_narrow,1,1,8.039447,194.30419,1039,4859,14745,10,0,5000000,1000000,5000000
166,attr2_narrow,2,0.8,9.603992,204.9199,1088,2705,8040,10,0,5000000,5000000,1000000
167,balanced,0,0,17.726726,111.74404,1846,2173,51776,10,0,2000000,2000000,2000000
168,attr0_narrow,0,1,8.735832,169.61191,1031,3331,9651,10,0,1000000,5000000,5000000
169,attr1_narrow,1,1,7.18378,188.48141,1029,3972,12008,10,0,5000000,1000000,5000000
170,attr2_narrow,2,1,13.06494,210.8863,1027,3960,12337,10,0,5000000,5000000,1000000
171,balanced,0,0.1,12.811812,102.92302,1260,1561,38306,10,0,2000000,2000000,2000000
172,attr0_narrow,0,1,10.710973,191.01287,1037,4071,12365,10,0,1000000,5000000,5000000
173,attr1_narrow,1,1,8.609564,210.14819,1045,4343,12878,10,0,5000000,1000000,5000000
174,attr2_narrow,2,1,14.181549,214.70003,1029,4999,14878,10,0,5000000,5000000,1000000
175,balanced,0,0,0.506016,96.115084,29,29,850,10,0,2000000,2000000,2000000
176,attr0_narrow,0,1,6.284552,141.48302,1031,2447,7323,10,0,1000000,5000000,5000000
177,attr1_narrow,1,1,6.996837,184.46594,1026,4089,11781,10,0,5000000,1000000,5000000
178,attr2_narrow,2,1,12.936487,216.60199,1027,4324,12703,10,0,5000000,5000000,1000000
179,balanced,0,0.3,17.698002,140.47389,1530,1838,46540,10,0,2000000,2000000,2000000
180,attr0_narrow,0,1,7.781059,132.30518,1029,3770,11601,10,0,1000000,5000000,5000000
181,attr1_narrow,1,1,6.994192,195.72516,1028,4122,11998,10,0,5000000,1000000,5000000
182,attr2_narrow,2,0.9,13.847819,211.20179,1031,4064,11635,10,0,5000000,5000000,1000000
183,balanced,0,0,0.432377,100.8368,23,23,690,10,0,2000000,2000000,2000000
184,attr0_narrow,0,1,7.912998,143.23261,1043,3741,11294,10,0,1000000,5000000,5000000
185,attr1_narrow,1,1,8.27408,192.63516,1027,4538,13753,10,0,5000000,1000000,5000000
186,attr2_narrow,2,1,15.407084,223.88831,1036,3396,10329,10,0,5000000,5000000,1000000
187,balanced,0,0.1,11.020858,96.061693,1239,1428,32770,10,0,2000000,2000000,2000000
188,attr0_narrow,0,1,10.203053,138.98884,1026,5425,15711,10,0,1000000,5000000,5000000
189,attr1_narrow,1,1,6.407904,182.26499,1031,3399,10063,10,0,5000000,1000000,5000000
190,attr2_narrow,2,1,20.621104,220.57806,1033,4038,11954,10,0,5000000,5000000,1000000
191,balanced,0,0,0.358467,100.43635,23,23,719,10,0,2000000,2000000,2000000
192,attr0_narrow,0,1,11.340663,182.55473,1041,5086,15401,10,0,1000000,5000000,5000000
193,attr1_narrow,1,1,7.886328,199.53102,1029,4236,12441,10,0,5000000,1000000,5000000
194,attr2_narrow,2,1,16.489559,230.43912,1032,3971,11673,10,0,5000000,5000000,1000000
195,balanced,0,0.5,14.563671,148.41747,1142,1460,35846,10,0,2000000,2000000,2000000
196,attr0_narrow,0,1,7.72344,144.84657,1029,3585,10500,10,0,1000000,5000000,5000000
197,attr1_narrow,1,1,25.772876,179.46472,1025,3531,11059,10,0,5000000,1000000,5000000
198,attr2_narrow,2,1,22.628566,205.21062,1028,4121,12298,10,0,5000000,5000000,1000000
199,balanced,0,0.7,13.603166,139.53628,1132,1457,35337,10,0,2000000,2000000,2000000
200,attr0_narrow,0,1,8.696608,163.36766,1040,3553,10634,10,0,1000000,5000000,5000000
201,attr1_narrow,1,1,8.783482,206.97563,1029,5583,16820,10,0,5000000,1000000,5000000
202,attr2_narrow,2,1,21.718356,209.51745,1029,4122,12118,10,0,5000000,5000000,1000000
203,balanced,0,0.5,12.781555,149.6072,1113,1308,31675,10,0,2000000,2000000,2000000
204,attr0_narrow,0,1,8.560832,174.91659,1030,3166,9263,10,0,1000000,5000000,5000000
205,attr1_narrow,1,1,7.568547,209.19525,1026,4131,12536,10,0,5000000,1000000,5000000
206,attr2_narrow,2,1,13.872415,216.25382,1028,3158,9824,10,0,5000000,5000000,1000000
207,balanced,0,0.5,15.128027,121.62582,1372,1738,41019,10,0,2000000,2000000,2000000
208,attr0_narrow,0,1,10.855026,168.05721,1027,4155,12963,10,0,1000000,5000000,5000000
209,attr1_narrow,1,1,6.518623,183.43291,1026,3503,10124,10,0,5000000,1000000,5000000
210,attr2_narrow,2,1,19.267787,209.51846,1033,3706,10884,10,0,5000000,5000000,1000000
211,balanced,0,0.1,9.797828,101.31671,1062,1278,29993,10,0,2000000,2000000,2000000
212,attr0_narrow,0,1,9.443639,197.18396,1028,3580,11103,10,0,1000000,5000000,5000000
213,attr1_narrow,1,1,8.154443,181.84661,1028,4887,14594,10,0,5000000,1000000,5000000
214,attr2_narrow,2,1,14.10784,208.24908,1030,2869,8717,10,0,5000000,5000000,1000000
215,balanced,0,0,14.021737,124.47446,1188,1562,37470,10,0,2000000,2000000,2000000
216,attr0_narrow,0,1,10.289407,159.2479,1038,4116,12213,10,0,1000000,5000000,5000000
217,attr1_narrow,1,1,8.108517,197.76557,1025,4632,14083,10,0,5000000,1000000,5000000
218,attr2_narrow,2,1,21.253038,223.93804,1027,4537,13838,10,0,5000000,5000000,1000000
219,balanced,0,0,11.190399,115.20256,1067,1274,30663,10,0,2000000,2000000,2000000
220,attr0_narrow,0,1,12.115136,179.38579,1044,5322,16096,10,0,1000000,5000000,5000000
221,attr1_narrow,1,1,7.754348,195.67877,1032,4751,14272,10,0,5000000,1000000,5000000
222,attr2_narrow,2,1,21.10604,202.66955,1036,4109,12546,10,0,5000000,5000000,1000000
223,balanced,0,0,9.759617,92.936128,1088,1214,29088,10,0,2000000,2000000,2000000
224,attr0_narrow,0,0.9,10.267947,175.60665,1030,5194,15423,10,0,1000000,5000000,5000000
225,attr1_narrow,1,1,7.590529,197.92144,1028,4206,12733,10,0,5000000,1000000,5000000
226,attr2_narrow,2,1,16.736265,202.93678,1037,4262,12526,10,0,5000000,5000000,1000000
227,balanced,0,0,0.318131,96.28292,13,13,532,10,0,2000000,2000000,2000000
228,attr0_narrow,0,1,7.456226,159.78356,1034,3264,9839,10,0,1000000,5000000,5000000
229,attr1_narrow,1,1,7.014761,192.46338,1042,3027,9141,10,0,5000000,1000000,5000000
230,attr2_narrow,2,1,33.275638,206.95293,1035,3393,10141,10,0,5000000,5000000,1000000
231,balanced,0,0.3,12.099466,135.06915,1098,1383,31962,10,0,2000000,2000000,2000000
232,attr0_narrow,0,1,10.876667,158.14568,1029,5282,15777,10,0,1000000,5000000,5000000
233,attr1_narrow,1,1,11.72047,268.54912,1039,3326,10338,10,0,5000000,1000000,5000000
234,attr2_narrow,2,1,19.484698,311.28775,1042,3247,9736,10,0,5000000,5000000,1000000
235,balanced,0,0.3,20.785213,151.09475,1482,1754,43012,10,0,2000000,2000000,2000000
236,attr0_narrow,0,1,13.044692,227.9817,1030,4221,12671,10,0,1000000,5000000,5000000
237,attr1_narrow,1,1,14.060521,200.47484,1027,5180,15341,10,0,5000000,1000000,5000000
238,attr2_narrow,2,1,24.453934,282.42397,1031,3782,11556,10,0,5000000,5000000,1000000
239,balanced,0,0.2,10.588922,114.67288,1158,1282,31310,10,0,2000000,2000000,2000000
240,attr0_narrow,0,0.8,10.83639,224.99408,1030,3319,10116,10,0,1000000,5000000,5000000
241,attr1_narrow,1,1,13.365026,210.00846,1031,5251,15829,10,0,5000000,1000000,5000000
242,attr2_narrow,2,1,16.68593,247.88684,1051,2110,6332,10,0,5000000,5000000,1000000
243,balanced,0,0.3,11.359048,124.85633,1047,1416,32808,10,0,2000000,2000000,2000000
244,attr0_narrow,0,1,11.210587,126.05512,1030,5054,15135,10,0,1000000,5000000,5000000
245,attr1_narrow,1,1,9.595877,197.65036,1036,5005,14761,10,0,5000000,1000000,5000000
246,attr2_narrow,2,1,16.328695,219.66873,1032,2579,8068,10,0,5000000,5000000,1000000
247,balanced,0,0,0.158489,131.33622,7,7,290,7,1,2000000,2000000,2000000
248,attr0_narrow,0,1,11.135736,168.94793,1029,5450,16348,10,0,1000000,5000000,5000000
249,attr1_narrow,1,1,12.077615,186.08508,1027,5332,15973,10,0,5000000,1000000,5000000
250,attr2_narrow,2,1,22.171332,222.12124,1031,4419,13856,10,0,5000000,5000000,1000000
251,balanced,0,0.1,11.014326,117.45754,1042,1293,30106,10,0,2000000,2000000,2000000
252,attr0_narrow,0,1,7.429985,173.75063,1028,2698,8030,10,0,1000000,5000000,5000000
253,attr1_narrow,1,1,10.856498,201.70515,1036,5235,15604,10,0,5000000,1000000,5000000
254,attr2_narrow,2,1,17.970647,213.57386,1030,3425,9980,10,0,5000000,5000000,1000000
255,balanced,0,0.1,24.200375,112.60076,1219,1433,35382,10,0,2000000,2000000,2000000
256,attr0_narrow,0,0.9,8.58129,161.60075,1031,2178,6640,10,0,1000000,5000000,5000000
257,attr1_narrow,1,1,9.126039,180.30671,1065,3900,11426,10,0,5000000,1000000,5000000
258,attr2_narrow,2,1,16.806738,226.46592,1036,2903,8611,10,0,5000000,5000000,1000000
259,balanced,0,0.2,12.298412,117.16117,1114,1435,34582,10,0,2000000,2000000,2000000
260,attr0_narrow,0,1,20.950746,144.62061,1028,5090,15298,10,0,1000000,5000000,5000000
261,attr1_narrow,1,1,10.257096,177.12296,1029,4654,13980,10,0,5000000,1000000,5000000
262,attr2_narrow,2,1,24.040182,207.14024,1045,5328,15805,10,0,5000000,5000000,1000000
263,balanced,0,0.6,18.220849,146.91187,1684,2038,49819,10,0,2000000,2000000,2000000
264,attr0_narrow,0,1,4.704577,141.68885,1037,1237,3589,10,0,1000000,5000000,5000000
265,attr1_narrow,1,0.9,9.330976,195.8936,1328,3285,9837,10,0,5000000,1000000,5000000
266,attr2_narrow,2,0.9,21.50292,205.65323,1035,4378,13797,10,0,5000000,5000000,1000000
267,balanced,0,0,0.151847,117.45348,7,7,230,7,1,2000000,2000000,2000000
268,attr0_narrow,0,0.8,11.967878,185.22048,1035,5863,17598,10,0,1000000,5000000,5000000
269,attr1_narrow,1,1,11.258398,204.17086,1032,5153,15442,10,0,5000000,1000000,5000000
270,attr2_narrow,2,0.9,19.019378,210.82302,1026,4399,13491,10,0,5000000,5000000,1000000
271,balanced,0,0.2,16.167501,99.735553,1403,1580,38539,10,0,2000000,2000000,2000000
272,attr0_narrow,0,0.8,11.47156,177.86616,1039,4766,14712,10,0,1000000,5000000,5000000
273,attr1_narrow,1,1,8.023276,188.43764,1028,3753,11871,10,0,5000000,1000000,5000000
274,attr2_narrow,2,1,17.450254,215.85271,1031,3687,10910,10,0,5000000,5000000,1000000
275,balanced,0,0.5,13.132057,140.51738,1125,1423,34163,10,0,2000000,2000000,2000000
276,attr0_narrow,0,1,11.250693,148.40372,1028,6370,18793,10,0,1000000,5000000,5000000
277,attr1_narrow,1,1,10.662241,199.69919,1028,4444,13115,10,0,5000000,1000000,5000000
278,attr2_narrow,2,1,13.707614,214.86171,1029,2175,6565,10,0,5000000,5000000,1000000
279,balanced,0,0,13.458604,107.49101,1116,1305,31100,10,0,2000000,2000000,2000000
280,attr0_narrow,0,1,10.310156,145.29674,1031,4000,11754,10,0,1000000,5000000,5000000
281,attr1_narrow,1,1,10.391099,202.55504,1029,4183,12564,10,0,5000000,1000000,5000000
282,attr2_narrow,2,1,23.452472,212.542,1028,4851,14536,10,0,5000000,5000000,1000000
283,balanced,0,0.1,13.528626,139.36296,1101,1372,33022,10,0,2000000,2000000,2000000
284,attr0_narrow,0,1,10.466652,174.23794,1029,5097,15384,10,0,1000000,5000000,5000000
285,attr1_narrow,1,1,8.721204,179.38947,1039,3933,11922,10,0,5000000,1000000,5000000
286,attr2_narrow,2,1,19.681118,214.32109,1044,3945,11812,10,0,5000000,5000000,1000000
287,balanced,0,0.4,13.204173,143.80937,1030,1351,32589,10,0,2000000,2000000,2000000
